Ticker,Date,Time,Open,High,Low,Close,Vol
KO,20030303,1600,39.3509,39.6252,38.4200,38.4200,5956400
KO,20030304,1600,38.4427,38.4427,37.5412,37.6000,6403800
KO,20030305,1600,36.7020,37.6036,36.2708,36.8000,11959400
KO,20030306,1600,36.8000,37.0058,36.4570,36.8000,7291000
KO,20030307,1600,36.4011,37.0772,36.4011,36.9400,7076300
KO,20030310,1600,36.6534,36.8494,36.2712,36.3300,5637700
KO,20030311,1600,36.3612,37.4392,36.3612,36.9100,6093800
KO,20030312,1600,36.9678,37.7072,36.9481,37.5100,8571200
KO,20030313,1600,38.0323,38.8900,37.9535,38.8900,8124300
KO,20030314,1600,39.0836,39.4384,38.8963,39.3300,6705100
KO,20030317,1600,39.3354,40.4100,39.1383,40.4100,7067100
KO,20030318,1600,40.4393,40.4393,39.7295,40.3900,6478800
KO,20030319,1600,40.3821,41.2494,40.1751,41.2100,6450000
KO,20030320,1600,41.2160,41.2555,40.3682,40.9400,4737700
KO,20030321,1600,41.3543,41.6993,40.7135,41.6500,6839400
KO,20030324,1600,41.2074,41.3947,40.1920,40.3300,4949700
KO,20030325,1600,40.3114,40.5973,39.9862,40.4100,5060100
KO,20030326,1600,40.4654,40.4753,40.0810,40.1500,4947400
KO,20030327,1600,39.9054,40.6645,39.5702,40.2800,4250200
KO,20030328,1600,40.2781,40.4950,39.8543,40.1500,3836300
KO,20030331,1600,39.7423,40.0971,39.1410,39.9000,5977200
KO,20030401,1600,39.9184,39.9973,39.3073,39.8100,6933800
KO,20030402,1600,40.5643,41.1360,40.4164,40.8600,5169300
KO,20030403,1600,40.8564,40.9451,40.3636,40.6100,4270600
KO,20030404,1600,41.5070,41.9900,40.5607,41.3000,4454200
KO,20030407,1600,41.9378,42.0462,41.0014,41.1000,5097200
KO,20030408,1600,41.3486,41.4471,41.0134,41.2500,3462800
KO,20030409,1600,41.3856,42.0560,40.8434,41.0800,4499600
KO,20030410,1600,41.2542,41.2837,40.7120,40.8500,3327700
KO,20030411,1600,41.1554,41.3526,40.7119,40.8400,3487300
KO,20030414,1600,40.8341,41.8788,40.8341,41.8000,3324200
KO,20030415,1600,41.8904,42.2354,41.3877,41.9200,3908300
KO,20030416,1600,40.0693,41.1043,38.9456,39.3300,15247500
KO,20030417,1600,39.3469,40.0467,38.4401,39.8200,11653100
KO,20030421,1600,39.9737,40.2202,39.3527,39.5400,3524800
KO,20030422,1600,39.3273,39.8596,39.1105,39.8300,6728100
KO,20030423,1600,39.7060,39.9229,39.1343,39.4300,6030500
KO,20030424,1600,39.3794,39.5273,38.6894,39.3400,5869300
KO,20030425,1600,39.4811,39.5698,38.6924,38.8600,5130200
KO,20030428,1600,39.2670,39.9668,39.1783,39.7500,5518800
KO,20030429,1600,39.7571,40.4176,39.7571,40.2500,5234700
KO,20030430,1600,40.0368,40.2635,39.5539,39.8200,6354800
KO,20030501,1600,39.8206,40.0078,38.8743,39.8600,5212900
KO,20030502,1600,39.4254,40.2983,39.4058,40.2100,5343900
KO,20030505,1600,40.2110,40.3090,39.5244,39.7500,3536000
KO,20030506,1600,40.0633,40.5046,39.8377,40.2300,5048500
KO,20030507,1600,41.6946,42.6362,41.4494,42.4400,15534700
KO,20030508,1600,42.2267,42.5308,41.9031,42.0600,7510900
KO,20030509,1600,42.7575,43.3263,42.5810,43.1400,8060900
KO,20030512,1600,43.1497,43.8658,43.0320,43.6500,5367700
