Ticker,Date,Time,Open,High,Low,Close,Vol
IP,20030303,1600,34.7541,35.0482,34.2149,34.4600,1666000
IP,20030304,1600,34.6703,34.6703,33.9449,34.1900,2032100
IP,20030305,1600,34.1424,34.3580,33.7993,34.2600,2039400
IP,20030306,1600,34.0152,34.1916,33.0447,33.2800,2664200
IP,20030307,1600,32.8456,33.7280,32.6789,33.6300,2292500
IP,20030310,1600,33.1896,33.5034,32.9053,33.1700,2672400
IP,20030311,1600,33.2843,33.8725,32.9118,33.0000,2184500
IP,20030312,1600,32.6751,33.1653,32.4398,32.9300,2414700
IP,20030313,1600,33.0846,33.8590,32.4376,33.8100,3771600
IP,20030314,1600,34.1655,35.1459,33.9694,34.9400,5175900
IP,20030317,1600,34.7342,35.9400,34.4302,35.9400,4533500
IP,20030318,1600,35.9859,36.5251,35.7605,36.2800,3770500
IP,20030319,1600,36.2722,36.5270,35.9487,36.3800,2958500
IP,20030320,1600,36.3798,36.6151,35.6250,36.3700,2625700
IP,20030321,1600,36.3676,37.3184,36.1715,37.2400,4583000
IP,20030324,1600,36.4666,36.5646,35.4961,35.8000,2509000
IP,20030325,1600,35.5543,36.1229,35.4073,35.7700,3496000
IP,20030326,1600,35.4496,35.4692,34.6653,34.9300,3653100
IP,20030327,1600,34.3622,34.5974,33.6759,33.9700,3987000
IP,20030328,1600,33.9696,33.9696,33.4304,33.9500,2975000
IP,20030331,1600,33.3851,33.4832,32.6694,33.1400,5067300
IP,20030401,1600,33.3329,33.7055,32.8329,33.4800,3290100
IP,20030402,1600,34.1143,34.4868,33.9281,34.3300,4379900
IP,20030403,1600,35.0903,35.0903,33.9725,34.1000,1900600
IP,20030404,1600,34.3047,34.9028,33.7165,34.0400,2347800
IP,20030407,1600,35.1424,35.2307,34.2308,34.2700,2979100
IP,20030408,1600,34.2753,34.3047,33.6282,34.0400,2204300
IP,20030409,1600,34.0368,34.3799,33.2820,33.3800,2727100
IP,20030410,1600,33.5525,33.9250,33.0526,33.1800,2591100
IP,20030411,1600,33.4820,33.7957,32.7565,33.0800,3710800
IP,20030414,1600,33.0738,33.4266,32.8973,33.2600,2827900
IP,20030415,1600,33.0371,33.5763,32.8802,33.3900,2987200
IP,20030416,1600,33.3878,33.5544,32.7310,32.7800,2306500
IP,20030417,1600,32.7876,33.2582,32.5229,33.1700,2146200
IP,20030421,1600,33.3758,33.7189,33.0034,33.1700,2203000
IP,20030422,1600,33.0882,34.5098,33.0196,34.5000,4024400
IP,20030423,1600,34.5592,35.1376,34.2161,35.0200,3804800
IP,20030424,1600,35.0823,35.6214,34.6314,34.7000,3579500
IP,20030425,1600,34.8872,35.0343,34.3187,34.7500,2765800
IP,20030428,1600,34.7559,35.0990,34.3735,35.0500,3929500
IP,20030429,1600,35.2892,35.3872,34.9461,35.2500,4024600
IP,20030430,1600,35.3931,35.3931,34.6578,35.0500,4600900
IP,20030501,1600,35.1004,35.1004,34.0709,34.6200,4214400
IP,20030502,1600,34.4197,35.1800,34.2637,35.1800,2395200
IP,20030505,1600,35.1752,35.3311,34.5319,34.9900,2215300
IP,20030506,1600,34.9964,35.6982,34.9964,35.6300,2877500
IP,20030507,1600,35.1582,35.5481,34.9243,35.0900,3079200
IP,20030508,1600,34.7013,35.5298,34.6038,34.7500,2744700
IP,20030509,1600,34.8496,35.6197,34.7912,35.6100,1990400
IP,20030512,1600,35.6104,36.6047,35.3764,36.4000,3393200
IP,20030513,1600,36.4005,36.7319,36.1665,36.4200,3389200
IP,20030514,1600,36.5019,36.5311,35.9756,36.1900,2598600
IP,20030515,1600,36.4505,36.5090,36.0607,36.4700,1894300
IP,20030516,1600,36.4727,36.7456,36.0146,36.1900,2315000
IP,20030519,1600,35.9224,36.0296,35.2400,35.2400,2062900
IP,20030520,1600,35.3839,35.6764,34.6139,35.1500,2330500
IP,20030521,1600,34.9889,35.5680,34.6945,35.4600,3001500
IP,20030522,1600,35.6332,36.4676,35.3878,36.3400,4251300
IP,20030523,1600,36.1178,36.2650,35.8430,36.0000,2050700
IP,20030527,1600,35.8091,36.8496,35.5245,36.8300,2775900
IP,20030528,1600,36.8106,36.8106,36.0744,36.3100,2526400
IP,20030529,1600,36.1053,36.7727,35.8207,35.8600,4097500
IP,20030530,1600,35.9115,36.3335,35.7250,35.9900,3689900
IP,20030602,1600,36.3072,36.7489,36.0815,36.1600,2386600
IP,20030603,1600,36.0835,36.3093,35.8577,36.2700,1976100
IP,20030604,1600,36.2686,37.3974,36.2686,37.2600,2895000
IP,20030605,1600,37.1440,37.9783,36.9182,37.8900,3511600
IP,20030606,1600,38.1324,38.6625,37.4257,37.7300,3688500
IP,20030609,1600,37.6745,37.7923,37.1542,37.3800,1965200
IP,20030610,1600,37.5585,38.1277,37.0482,37.4800,2266500
IP,20030611,1600,37.4831,38.1898,37.1985,38.1800,2506900
IP,20030612,1600,38.2754,38.4520,37.5982,38.0300,3201500
IP,20030613,1600,37.7393,37.7884,37.0326,37.1700,2967400
IP,20030616,1600,37.5473,38.0578,36.9093,37.9400,4085400
IP,20030617,1600,37.9322,38.2659,37.3335,37.5200,3049700
IP,20030618,1600,37.3193,37.4959,36.8677,37.2800,2752300
IP,20030619,1600,37.2806,38.0756,36.9272,37.3100,2850200
IP,20030620,1600,37.4788,37.7242,36.8113,36.8800,4632600
IP,20030623,1600,36.8778,37.0643,36.0926,36.2300,2646000
IP,20030624,1600,36.2941,36.8535,36.2352,36.5100,2454300
IP,20030625,1600,36.3831,36.6580,36.0200,36.0200,2085000
IP,20030626,1600,36.0218,36.1887,35.6685,36.1200,3088000
IP,20030627,1600,36.1174,36.1174,35.0869,35.4500,3384200
IP,20030630,1600,35.2074,35.5608,34.9718,35.0700,3715200
IP,20030701,1600,35.0859,35.4098,34.6541,35.4000,2970700
IP,20030702,1600,35.5327,36.2493,35.4444,36.2100,4056100
IP,20030703,1600,35.7765,36.2378,35.7765,36.1200,1549900
IP,20030707,1600,36.3206,37.3906,36.2814,36.8900,3899800
IP,20030708,1600,36.6150,36.9683,36.5855,36.8800,2695900
IP,20030709,1600,36.8170,36.8269,36.2968,36.6600,2117500
IP,20030710,1600,35.4300,36.1170,35.2239,35.4300,3891800
IP,20030711,1600,35.4450,35.9750,35.2781,35.7100,2128300
IP,20030714,1600,36.1150,36.3603,35.7126,35.8500,2088700
IP,20030715,1600,36.0207,36.2170,35.5889,36.0600,2942600
IP,20030716,1600,36.3039,36.3726,35.7935,35.9800,2848200
IP,20030717,1600,35.7381,36.6608,35.6989,36.1700,3072000
IP,20030718,1600,36.6580,37.1389,36.4617,37.0800,4364500
IP,20030721,1600,37.0783,37.0783,36.3619,36.9900,2898000
IP,20030722,1600,36.9971,37.9296,36.8302,37.9100,3681800
IP,20030723,1600,37.9093,38.0271,37.6933,37.8700,2866400
IP,20030724,1600,37.9356,38.4460,37.0031,37.1700,3715300
IP,20030725,1600,37.1661,37.5489,36.9110,37.4900,2429700
IP,20030728,1600,37.4964,38.1345,37.3492,37.8400,2224900
IP,20030729,1600,37.8385,37.8974,37.2300,37.7600,2272000
IP,20030730,1600,37.7889,37.9558,37.4748,37.7300,1390300
IP,20030731,1600,37.7620,38.9693,37.5853,38.4000,3533000
IP,20030801,1600,38.3978,38.4076,37.7990,38.2800,2582100
IP,20030804,1600,38.0428,38.3274,37.5717,38.1900,2066200
IP,20030805,1600,38.3267,38.3267,37.6004,37.6200,1883500
IP,20030806,1600,37.4498,37.6756,37.2142,37.4400,1864900
IP,20030807,1600,37.2946,37.6087,37.0787,37.5400,1796900
IP,20030808,1600,37.5417,38.1796,37.3454,38.1600,1954800
IP,20030811,1600,38.3265,38.8369,38.1302,38.6700,2240500
IP,20030812,1600,38.8229,38.9800,38.4597,38.9800,1867600
IP,20030813,1600,39.0680,39.0974,38.6655,38.9600,2158400
IP,20030814,1600,39.2058,40.1383,39.1175,40.0500,3482700
IP,20030815,1600,40.2347,40.2347,39.5770,39.9500,1575000
IP,20030818,1600,40.1944,40.4496,39.9000,40.4300,2284700
IP,20030819,1600,40.3374,40.9792,39.9622,40.9200,3613800
IP,20030820,1600,40.9240,40.9240,40.3611,40.4500,2667000
IP,20030821,1600,40.7863,40.9443,40.4307,40.4900,2503900
IP,20030822,1600,40.6528,40.7812,39.9320,40.0900,1850100
IP,20030825,1600,39.9961,40.1147,39.4234,39.6900,2050100
IP,20030826,1600,39.3345,39.7493,39.0382,39.6900,1726500
IP,20030827,1600,39.5149,40.0483,39.3668,39.9100,1463500
IP,20030828,1600,40.2320,40.4295,39.5210,40.3900,1924600
IP,20030829,1600,40.3757,40.3757,39.6352,40.0400,1620800
IP,20030902,1600,39.1555,40.4393,39.1456,40.3800,3357900
